number,id,cell_id,source,ancestor_id,pct_rank
71,59989cbc0fb82a,bb54b314,"https://www.machinehack.com/course/predict-the-flight-ticket-price-hackathon/

## Predict The Flight Ticket Price Hackathon

Flight ticket prices can be something hard to guess, today we might see a price, check out the price of the same flight tomorrow, it will be a different story. We might have often heard travellers saying that flight ticket prices are so unpredictable. Huh! Here we take on the challenge! As data scientists, we are gonna prove that given the right data anything can be predicted. Here you will be provided with prices of flight tickets for various airlines between the months of March and June of 2019 and between various cities.

##### Size of training set: 10683 records

##### Size of test set: 2671 records

#### FEATURES: 
- Airline: The name of the airline.

- Date_of_Journey: The date of the journey

- Source: The source from which the service begins.

- Destination: The destination where the service ends.

- Route: The route taken by the flight to reach the destination.

- Dep_Time: The time when the journey starts from the source.

- Arrival_Time: Time of arrival at the destination.

- Duration: Total duration of the flight.

- Total_Stops: Total stops between the source and destination.

- Additional_Info: Additional information about the flight

- Price: The price of the ticket",45f2c8d7,0
72,5991601fe64b1e,163fe4a2,">* Based on https://www.kaggle.com/lpachuong/statstack
>* Thanks to <br>
https://www.kaggle.com/jazivxt/safe-box<br>
https://www.kaggle.com/artgor/eda-and-models<br>
https://www.kaggle.com/stocks/under-sample-with-multiple-runs<br>
https://www.kaggle.com/artkulak/ieee-fraud-simple-baseline-0-9383-lb",7cab7e92,0
73,b2318a3192f7ea,557e00e8,"**[Pandas Course Home Page](https://www.kaggle.com/learn/pandas)**

---
",612efa48,0
75,b237881ddde78e,b92b011a,"# The Status of ML in Developing Economies: the Case of Africa
***
*    [Angeliki Varela](https://www.linkedin.com/in/angeliki-varela-8a365b37) 
    *    email: avarela@chicagobooth.edu
    *    Kaggle: `ang3l1k1`
*    [Orest Xherija](https://www.linkedin.com/orestxherija) 
    *    email: xherija.orest@gmail.com 
    *    kaggle: `orestxherija`",c88b9c2f,0
76,5986077c8a5ab5,bfe8b1c0,"<center> 
<strong>LightGBM+RFECV+BayesSearchCV</strong><br />
<img src=""https://panampost.com/wp-content/uploads/pobreza-costa-rica-560x276.jpg"">
Helping the Inter-American Development Bank with income qualification of the world's poorest families.

</center>",7bb513f0,0
77,598611f591f655,71398406,"This is a very simple tutorial intended for the beginners to understand and implement Simple Linear Regression from the scratch. 



<font color='blue'> Simple Linear Regression </font> is a great first machine learning algorithm to implement as it requires you to estimate properties from your training dataset, but is simple enough for beginners to understand. Linear regression is a prediction method that is more than 200 years old. In this tutorial, you will discover how to implement the simple linear regression algorithm from scratch in Python.

After completing this tutorial you will know:<br>
&#9632; How to estimate statistical quantities from training data.<br>
&#9632; How to estimate linear regression coefficients from data.<br>
&#9632; How to make predictions using linear regression for new data.<br>


Linear regression assumes a **linear or straight line relationship between the input variables (X) and the single output variable (y).** More specifically, that output (y) can be calculated from a linear combination of the input variables (X). When there is a single input variable, the method is referred to as a simple linear regression.

In simple linear regression we can use statistics on the training data to estimate the coefficients required by the model to make predictions on new data.

The line for a simple linear regression model can be written as:

$$ y = b_0 + b_1 * x $$
where $b_0$ and $b_1$ are the coefficients we must estimate from the training data. Once the coefficients are known, we can use this equation to estimate output values for $y$ given new input examples of $x$. It requires that you calculate statistical properties from the data such as **mean, variance** and **covariance.**


If somehow this notebook helps you, please do <font color='red'> UPVOTE </font>",e8fda62c,0
78,b2377c928fb21a,04b1ab63,"Reading classics [Deep Learning Models](https://github.com/rasbt/deeplearning-models)
## Basic Examples",72d586ae,0
80,b237594ab30210,97cfbe36,# Вектора и эмбединги для текстов,eae1947d,0
82,598713ab4528b5,1fc7f0be,"# Dataviz of Coronavirus Data

nb ""mainland China"" = China excluding Hubei",9807b3d2,0
83,5987cc4c59ac5f,b19aa3c5,"#                                       *Climate* *Change* *Belief* *Analysis*



---









",73fa5f24,0
84,b237232fd712c9,c219d612,# Stock Market Prediction (Google),cd96eefd,0
85,b236a2a281022f,920f147b,# KERNEL SHAP,1592f6fc,0
88,598818f7c93ed1,4b68894d,"## EDA + Light GBM - Tabular Series Apr 2021

In this kernel I will explore and create a predictive model with the T

## Import libs and data",f22a0122,0
89,5987b4ca05bbe0,ba062a55,"Neural Network with convolution over previous applications and bureau credit reports.

This notebook attempts to predict the defaulters in the competition with a neural network without aggregating data. Appart from the main input with details on the current loan application the details of previous activity will be fed with two auxiliary inputs for both Bureau Credit Reports and Previous Applications.

Preprocessing is limited to standarization, categorical encodings and building the tensors that will feed the neural network. Other than those transformation steps there is no feature engeneering and no aggregation of input tables.

At this point only Current Application, Bureau and Previous Application data is included. This model does not include Installments, Credit Card Balance, Pos Cash Balance or Bureau Balance details.",283c8442,0
90,5985fcde315906,f7879bda,# Titanic Dataset,09ef36ab,0
91,b237fb377f2c9b,e179bb9b,"## Introduction
### This is a follow-up kernel of [my previous LANL EDA kernel](https://www.kaggle.com/tarunpaparaju/lanl-earthquake-prediction-fresh-eda). In this kernel, I explore even more new features and visualize their relationships with the target.
",b50d93c7,0
96,b23c2e182ab86f,423eb4f4,# Overview,01cce87d,0
97,b23c0eeb046643,8944db10,"The table below gives the age (in year) and mileage (in KMs) of four used cars:

|  CAR  | Wartburg | Moskvich | Lada | Trabi |
| ----- |----------| -------- | ---- | ----- |
| Age | 5 | 7 | 15 | 28 |
| Mileage | 30530 | 90000 | 159899 | 270564 |

1. Determine the weights $w_0$ and $w_1$ for a simple linear regression to predict mileage from age.
2. Use the model from $1$ to predict the mileage for a 15-year old car.
3. Draw a scatter plot of the data and a plot of the linear regression line.",6bcb84e8,0
100,5984ee0c5aeb7d,d6e4c2f8,"# INTRODUCTION
* In this kernel, we will visualise Video Game Sales Dataset by using plotly library.
    * Plotly library: Plotly's Python graphing library makes interactive, publication-quality graphs online. Examples of how to make line plots, scatter plots, area charts, bar charts, error bars, box plots, histograms, heatmaps, subplots, multiple-axes, polar charts, and bubble charts.

<br>Content:
1. [Loading Data and Explanation of Features](#1)
1. [Line Charts](#2)
1. [Scatter Charts](#3)
1. [Bar Charts](#4)
1. [Pie Charts](#5)
1. [Bubble Charts](#6)
1. [Histogram](#7)
1. [Word Cloud](#8)
1. [Box Plot](#9)
1. [Scatter Plot Matrix](#10)
1. [Inset Plots](#11)
1. [3D Scatter Plot with Colorscaling](#12)
1. [Multiple Subplots](#13)
",33192b05,0
101,0463f7cff9aadb,5581a501,![](https://www.researchgate.net/publication/340223686/figure/fig1/AS:873545626308609@1585280915468/BERT-Original-sentence-how-are-you-doing-today.ppm),5e756455,0
102,b23a43ebe483cf,8cc0827c,# **STROKE DATASET EDA & PREDICTION PERFORMANCE**,f2ab0a72,0
103,b23a3c0888679d,edd91f0f,"# Market Customer Personality Analysis

Customer Personality Analysis is a detailed analysis of a company’s ideal customers. It helps a business to better understand its customers and makes it easier for them to modify products according to the specific needs, behaviors and concerns of different types of customers.

Customer personality analysis helps a business to modify its product based on its target customers from different types of customer segments. For example, instead of spending money to market a new product to every customer in the company’s database, a company can analyze which customer segment is most likely to buy the product and then market the product only on that particular segment.

Steps followed in this notebook:

1. Detailed descriptions of customers
2. CLustering 
3. Descriptives among clusters
",b340e755,0
105,59858e19aeab67,668825f2,**Stanford car dataset Classification**,7621455c,0
107,b238eb34c816c8,62f344c1,"## Introduction: 
<font size='3'>Hi Everyone this  note book is a guide and a littel into to my Dataset <b>""Yahoo Finance Apple Inc. (AAPL)""</b>.
Link - https://www.kaggle.com/achintyatripathi/yahoo-finance-apple-inc-aapl <br>
This is Historical Data which contains data that tells the onening and closing price of the market. The highest and lowest points and also tells about VWAP .
It have data of one whole year, which is divided into 3 parts ---<br>
1.Daily updates 2. Weekly updates, 3. Monthly Updates.

In this notebook I am going to explore the data using AutoViz_class liberary. Which can plot various graphs and reduce the time spend on EDA.<br> 
<b> However the real part of the is the Time series analysis and prediction.</b>
I will request everyone to give it a shot and try their hands on this dataset. Thank You.</font> 

### Do UpVote and comment on the Dataset and kernel it will help me grow and improve the quality of my work. Thank You once again. 🙏😃",d7d2b343,0
109,b23676d006ebd5,5e47c836,"Several days ago, I created one [notebook](https://www.kaggle.com/latong/zoomable-coronavirus-heatmap) showing Coronavirus heatmaps that track global cases in real-time. Now, I would like to try another approach i.e., plot time series data with [Plotly](https://plot.ly/python/animations/) in Python.",f7b0fedf,0
110,598887bebdd915,c698229c,"# Brandon's first Kaggle attempt

16th June 2020 (Bloomsday)",dabef63c,0
111,b236611e720354,c5a4bd6a,# A Simple EDA,43d00475,0
112,b234ca813a46f9,9.18E+37,"**This notebook is an exercise in the [Python](https://www.kaggle.com/learn/python) course.  You can reference the tutorial at [this link](https://www.kaggle.com/colinmorris/booleans-and-conditionals).**

---
",98df08c6,0
114,b2334c9f5ee1ae,9e66889f,# House Prices Prediction,b5624af0,0
117,b232fe60490ad7,8bcf7114,"# TV Shows and Movies listed on Netflix
This dataset consists of tv shows and movies available on Netflix as of 2019. The dataset is collected from Flixable which is a third-party Netflix search engine.

In 2018, they released an interesting report which shows that the number of TV shows on Netflix has nearly tripled since 2010. The streaming service’s number of movies has decreased by more than 2,000 titles since 2010, while its number of TV shows has nearly tripled. It will be interesting to explore what all other insights can be obtained from the same dataset.

Integrating this dataset with other external datasets such as IMDB ratings, rotten tomatoes can also provide many interesting findings.

Inspiration
Some of the interesting questions (tasks) which can be performed on this dataset -

* Understanding what content is available in different countries
* Identifying similar content by matching text-based features
* Network analysis of Actors / Directors and find interesting insights
* Is Netflix has increasingly focusing on TV rather than movies in recent years.

![](https://i.gadgets360cdn.com/large/netflix_best_tv_series_1600167552333.jpg)",1c75b8ab,0
118,598f9b03eae25f,de01fb80,### Import modules,ef29f11f,0
119,598fd133b2b280,5a9033a4,"Predict Wine Quality : Good or bad 

Dataset Features: 
type(red or white)

all other have numerical values columns:
fixed acidity,
volatile acidity,
citric acid,
residual sugar,
chlorides,
free sulfur dioxide,
total sulfur dioxide,
density,
pH,
sulphates,
alcohol,

To find: quality


white wine : 75% data
red wine : 25%

quality (score between 0 and 10)",fc21509f,0
120,b232e5141a576d,f59a8960,"# Ethical Hacking Platform - Web Scraping & EDA


![image](https://source.unsplash.com/UVMPVIRCF5w/)

In this notebook I will mix two things I like: data-science and hacking challenges.

[CTFlearn.com](CTFlearn.com) is an ethical hacking platform that enables tens of thousands to learn, practice, and compete. It offers user-submitted and community-verified challenges in a wide range of topics.

In this notebook, I will scrap the website information on the hacking challenges and we are going to visualise data about them.


# 1. import python modules",20a70efb,0
122,598ffb73db590a,213c3187,"## CNN Convolutional Neural Network pour Classification des Images

Pour cette deuxième partie du tutorial nous allons Réaliser un Réseau de Convolution mais cette fois-ci sur un jeu de données plus complexe que les chiffres du MNIST. En effet nous allons utiliser un dataset avec des **vrais images pour la reconnaissance Chien / Chat** (toujours en apprentissage supervisé)

Nous Utiliserons encore une fois les libraries de KERAS pour la création du réseau de Convolution.

Tous les principaux éléments qui composent ce réseau ont été abordés en partie 1, s'y reporter en cas de besoin.

### Image Classification Références:
https://www.kaggle.com/yassineghouzam/introduction-to-cnn-keras-0-997-top-6
https://blog.keras.io/building-powerful-image-classification-models-using-very-little-data.html
https://www.kaggle.com/stevenhurwitt/cats-vs-dogs-using-a-keras-convnet
https://stanford.edu/~shervine/blog/keras-how-to-generate-data-on-the-fly
https://github.com/shervinea/enzynet/blob/master/scripts/architecture/enzynet_uniform.py
https://stanford.edu/~shervine/blog/evolution-image-classification-explained
https://www.analyticsvidhya.com/blog/2016/10/tutorial-optimizing-neural-networks-using-keras-with-image-recognition-case-study/
http://ruder.io/optimizing-gradient-descent/
https://medium.com/@vijayabhaskar96/tutorial-on-keras-flow-from-dataframe-1fd4493d237c

dataset : https://www.kaggle.com/c/dogs-vs-cats-redux-kernels-edition/data
",6766fcd1,0
123,b2324567c43bdf,bb055546,"<h1 id =""Introduction"" style=""color:#E36149;"">Introduction</h1>

<h2 id =""Problem Statement"" style=""color:#E36149;"">Problem Statement</h2>
A company's HR department wants to predict whether some employees would leave the company in next 2 years. Your job is to build a predictive model that predicts the prospects of future and present employee.
Perform EDA and bring out insights A company's HR department wants to predict whether some customers would leave the company in next 2 years. Your job is to build a predictive model that predicts the prospects of future and present employee.
Perform EDA and bring out insights

<h2 id =""Tasks"" style=""color:#E36149;"">Tasks</h2>

- Perform EDA
- Build model to predict if Employee leaves

### If you found this notebook insightful or helpful please Upvote, Suggestions are always welcome",bc42c669,0
124,5990d0fca6ee7f,a0bdc3fd," This'll be my first notebook on Kaggle and I'm open to all the feedback that you guys can provide me .
 
 In this notebook I'll be creating a 2 layer neural network using *sigmoid* as activation in **hidden** layer and *softmax* in *output* layer.
 
 We'll only be getting an accuracy of 91.6% as I'm not using **CNN** and a shallow network and I'll soon implement a **CNN** ** from scratch** in a later version.
 
 I have avoided libraries like **Keras** for creating the network and have written both the forward and back prop.
 ",a3b00c5e,0
125,b23205ad0e577d,8038dca5,"**Find ORF(open reading frame),  method 1, ORF length limitation set > 1000bp,  position index set = (1-base)**",474df173,0
126,59915aa2f1387e,17867851,I trained a logistic regression model and deep neural network using a dataset of cat and dog photos. The results were not what I expected but this process was quite educational for me.Looking forward to your suggestions to improve model performance (accuracy),b9416646,0
128,599fffbb9306fe,8a30796d,# Problem Statement,5e10067a,0
129,598e4ff89d2218,11277ea1,"# NASA Star Classification

The goal of this notebook is to complete a basic project including exploration, cleaning, visualization, and classification. The dataset used here is the [Star Type Classification / NASA](https://www.kaggle.com/brsdincer/star-type-classification) dataset on Kaggle. Its target value is the ""Type"" feature, and 6 other features are given for classification.",574a41e5,0
130,598da364806f56,58e720ec,"# [Video](https://www.youtube.com/watch?v=oNW4jXkc1eY&t=303s) Explaining the approach

This notebook aims at filtering the dataset provided by Kaggle differentiating proper research papers and other documents that would not be useful for a public health specialist/ scientist to explore.

## Steps to realize outlier document removal

 - Extracting duplicate papers by ID , title etc. from metadata
 - Parametrizing papers with different criteria e.g. words count, references count, authors count, figures count, has abstract, has back matter etc.
 - These parameters along side the content of the paper are then used to extract outlier documents.",81ecd337,0
135,b2358a14104ac0,e221b27b,"# Kaggle's M5 forecasting Competition

Author: `Armando Miguel Trejo Marrufo`",f8bfc441,0
136,598979a632bc3e,89907564,"1. This notebook is an implementation of the Margin Ranking Loss model using TF / Keras.
2. It uses TPU for training. (GPU for inference)
3. roberta base.

- reference
    - https://www.kaggle.com/yasufuminakama/jigsaw4-luke-base-starter-train/notebook
    - https://www.kaggle.com/quincyqiang/download-huggingface-pretrain-for-kaggle
    - https://www.kaggle.com/its7171/jigsaw-cv-strategy

inference notebook is [here](https://www.kaggle.com/mst8823/tf-keras-pairwise-toxic-model-tpu-infer)",94ae84dd,0
137,598a58de5f0ef3,db9dc21b,# Setup Perceptron algorithm,2bee9607,0
138,b23574f56edef1,5e43e1b2,"<a href=""https://colab.research.google.com/github/solharsh/Data_Understanding_And_Preparation/blob/master/Lending_CLUB_with_NLP.ipynb"" target=""_parent""><img src=""https://colab.research.google.com/assets/colab-badge.svg"" alt=""Open In Colab""/></a>",36d9b32b,0
139,598a69666b6be1,0d19582b,"## RSNA-MICCAI Brain Tumor Radiogenomic Classification
<a id = 0></a>

A malignant tumor in the brain is a life-threatening condition. Known as glioblastoma, it's both the most common form of brain cancer in adults and the one with the worst prognosis, with median survival being less than a year. The presence of a specific genetic sequence in the tumor known as MGMT promoter methylation has been shown to be a favorable prognostic factor and a strong predictor of responsiveness to chemotherapy",b36108f8,0
140,598adeef2959d1,5ddb86d6,"Here I have tried to analyse the dataset of Indian test cricketers and generate some insights from them. I am still a newbie, so please feel free to give any sort of feedbacks.
:)",144831fc,0
141,598b6228760590,c208798c,"<div style=""color: #fff7f7;
           display:fill;
           border-radius:10px;
           border-style: solid;
           border-color:#424949;
           text-align:center;
           background-color:#8ac6d1 ;
           font-size:20px;
           letter-spacing:0.5px;
           padding: 0.7em;
           text-align:left"">  
<center> <h1>Titanic machine learning 🚩</h1> </center> 
</div>",be30ab66,0
143,598cdc55dee500,113b0867,# Exploratory Data Analysis for Beginners (Bike Riding Data Set),bfe5589d,0
146,598e0b4b4f1f51,7e528de3,"# Báo cáo tiểu luận cuối kì môn Thống kê Ứng dụng

**Người thực hiện: Vũ Quang Hải**

**MSV: 16003499**",2b87ff31,0
147,b2247a446522a9,692ff9b2,"# Getting Started with Audio Analysis <a class=""anchor"" id=""tea""></a>",a90454d2,0
148,b2241f38713754,43713249,"# Abstractive Text Summarization

[Post](https://towardsdatascience.com/data-scientists-guide-to-summarization-fc0db952e363) on getting started with `text summarization`, their pros and cons and much more.

**There 3 different training models used here**
- `build_seq2seq_model_with_just_lstm` - **Seq2Seq model with just LSTMs**. Both `encoder` and `decoder` have just `LSTM`s.
- `build_seq2seq_model_with_bidirectional_lstm` - **Seq2Seq model with Bidirectional LSTMs**. Both `encoder` and `decoder` have `Bidirectional LSTM`s.
- `build_hybrid_seq2seq_model` - **Seq2Seq model with hybrid architecture**. Here `encoder` has `Bidirectional LSTM`s while `decoder` has just `LSTM`s.

**To see the full learning and results of all the 3 model go to the end of the notebook in the `Running all the 3 different models` section**

The `model (the trained model)`, `encoder_model (for inference)` and `decoder_model (for inference)` for **Seq2Seq with just LSTMs** are only saved.

![](https://media.giphy.com/media/dsKnRuALlWsZG/giphy.gif)",3436951b,0
149,59a05f22c4f2d0,1086fa12,"## Introduction
Greetings from the Kaggle bot! This is an automatically-generated kernel with starter code demonstrating how to read in the data and begin exploring. Click the blue ""Edit Notebook"" or ""Fork Notebook"" button at the top of this kernel to begin editing.",e1d3057f,0
150,b20ebfe60cbcf3,66d4c9a7,### import packages,c3711cbf,0
152,b20d4477b7b2f4,b6e243a2,"# Functions and Getting Help
In this lesson, we'll be talking about functions: calling them, defining them, and looking them up using Python's built-in documentation.

In some languages, functions must be defined to always take a specific number of arguments, each having a particular type. Python functions are allowed much more flexibility. The `print` function is a good example of this:",248d9f2d,0
153,59b4c4d923c447,1f42f1fe,### Configuração do Ambiente,4156598,0
154,59b4f5ce765a88,0757ee33,"**Each bin of 4096 samples @ 4Mhz contains enough information to makes satisfactory predictions or obtains features for a metamodel.**

**Dataset**: wavelet transform coefficients of the bin. (mexh & morl works well enough).

**NN Model**: CapsuNet implemented in keras / tensorflow.",97c7c6fa,0
155,b20c8fb2070656,0c04872f,"Breast cancer is a disease in which cells in the breast grow out of control. There are different kinds of breast cancer. The kind of breast cancer depends on which cells in the breast turn into cancer.
source information: https://www.cdc.gov/cancer/breast/basic_info/what-is-breast-cancer.htm",9e1e6b3f,0
156,59b4c04e9cc6fc,a824e590,"Different market forms exist. Monopoly, oligopoly and polypoly. In a monopoly, the company can simply maximize its profit given the demand, since there is no competition. However, as soon as other players enter the market (if this is possible), the companies optimize given a demand that is satisfied not only by one, but now by several companies. Mathematically, it is easy to prove that when the number of players converges to infinity, the individual players can no longer exercise market power. Although there are approaches here to regain market power through marketing measures. 

In this notebook we turn to a particular problem area in economics, the ""Hotelling Oligopoly"". Hotelling (1929) was able to show that companies located on the same street can optimize their profits by moving as close as possible to the competition in terms of location. Why is that? Imagine a street with two stores. Suppose the stores are far apart. Customers can come from anywhere. Each store generates sales. In the following diagram you can see how the situation looks like.

![](https://upload.wikimedia.org/wikipedia/commons/c/cc/Iceseller1.PNG)
<p style=""font-size : 12px""><em>extract Wikipedia</em></p>

If one of the stores were to move closer to the other, it would intercept more customers coming from the opposite direction before the competition did. Therefore, both move as close as possible to each other, as both want to maximize profits. This is why you often see competing stores right next to each other on the same street.  

![](https://upload.wikimedia.org/wikipedia/commons/3/32/Iceseller4.PNG)
<p style=""font-size : 12px""><em>extract Wikipedia</em></p>

Hotelling has studied the above behavior for a one-dimensional space. That is, a street along which one can walk. But our world is three-dimensional. We will assume a two-dimensional world for simplification. Stores can be on top of each other, but it is already possible to walk around stores in a two-dimensional space, which is not possible in a one-dimensional space. If you want to get to the back store on a street, you have to pass the front store. In two-dimensional space, however, you could bypass the first store and go directly to the second.

In this study, we will build an agent-based simulation through which we will test whether Hotelling is also plausible for two dimensions.

To do this, we will need to make some assumptions. Why? Well, if we made no assumptions, we would have to try to recreate the world one-to-one. This would not be a simplification and would not allow a controlled situation in which we want to isolate certain effects, e.g. the profit development of stores.",d660de39,0
157,59b56852b40f98,fc42cbae,"
# *CUSTOMER SEGMANTATION with K-Means & RFM *         

**Business Problem**


Rule-based customer segmentation method with RFM, and  one of
machine learning model which is  K-Means for customer segmentation is expected to compare.

**Story of Dataset**

The data set called Online Retail II is an online sale based in the UK sales of the store
from 01/12/2009 to 9/12/2011. Souvenirs are included in the product catalog of this company.
The vast majority of the company's customers are corporate customers.

**Variables**

* Invoicename: Invoice number (If this code starts with C, it means that order has been canceled.)
* Stock Code: Product code (Its a unique trick for a product.)
* Description: Product name
* InvoiceDate: Invoice date
* Unit Price: Fetura price
* Customer ID: Unique customer number
* Country: Country name",4609385b,0
158,59b56f48909378,c70a9bf4,"### This notebook mainly focuses on bayesian optimization using Tree Parzen Estimator or TPE for XGBoost model. 'HyperOpt' library is specially designed for that.

This notebook demonstrates following steps: 
1. Install Hyperopt
2. Encode categorical data using Ordinal encoding
3. Setup for optimization:
    a. Domain space of hyper-parameters
    b. Objective function
    c. TPE Algorithm
    d. History
4. Find best hyperparameters for XGBoost by running optimization
5. Train XGBoost with best hyperparameters with KFold cross validation
6. Predict on test data
7. Submit",a212b2ea,0
160,b20ba1101c4e0d,8ef2e042,"# Importing usefull packages
",1862faf6,0
161,59b6999dd58d6b,fb1af210,"# Analytics Vidhya - Game of Deep Learning || Computer Vision Hackathon
 - Competition Link: https://datahack.analyticsvidhya.com/contest/game-of-deep-learning/",019f1b45,0
162,b20af2b7ea44e2,3e801f2f,## 1. Import Libraries,176e24f2,0
165,b20ff02acad317,fdd5689f,## Import Dataset,f74ecb23,0
167,b21034e811f6c7,9635d2d9,"# Inference Kernel Demo - Analyzing Frames Per Video

I've noticed some people pointing out that varying `frames_per_video` does help in improving the public LB score. Indeed it does, so I'll be continuously updating this kernel's viz as I make submissions with different `frames_per_video` each day, while working on my main kernel in the cloud.",eb566af5,0
168,b213beb34bff2d,dfc5b0c8,# Libraries,54770089,0
169,59b34aa817141f,f6004171,"For more information on how to se the model and how to generate your own DAE wrights visit this post

https://www.kaggle.com/c/lish-moa/discussion/195642

In this version I am inferring on  groupkfold on the experiment clusters I deduced through clustering here 

https://www.kaggle.com/felipebihaiek/my-2-cents-on-an-accurate-per-experiment-split

You may also be interested in continued training with the non-scored targets. In the next kenel I implement a function that initializes a network from a past training with the non scored targets.

https://www.kaggle.com/felipebihaiek/torch-continued-from-auxiliary-targets-smoothing

",e7ee4fab,0
170,59b3ad0f1e2974,ffb3ae1d,# Neural Style,6fceb553,0
171,b212249236640e,e1d8783d,### **Import Necessary Library** ,fd033dab,0
172,b2120db425de8d,2561f69d,"![homecredit1.jpg](attachment:d674c640-78ef-41e4-854a-dc555ed1cf6c.jpg)

<img src=""https://storage.googleapis.com/kaggle-competitions/kaggle/9120/logos/thumb76_76.png?t=2018-04-02-23-45-04"" align=""left"" width = ""100px""/>

<h1> Home Credit Default Risk</h1>",aebfd89a,0
174,b211c8c107f56d,bc2b598b,"Hi Kagglers ! 

This is a notebook to test what you can do in a few minutes with h2o's migthy GBM. I also included some basic grid search and early stopping to make the model more competitive. There is no CV in this kernel, I simply used a train/validation split framework. Unfortunately h2o does not allow you to correct for stratification when splitting (to my knowledge), so I rather used sklearn splitting function. 

A neat feature is that you can keep an eye on the scoring history along the training with scoring_history() function on many metrics of interest, not only AUC ROC.

Feel free to comment, fork and upvote, happy kaggling, Cheers!
",805b90f3,0
175,59b46e071dbd06,61f19850,### **In this script we will use Random and Grid search techniques to tune the Hyper parameters of the algorithms of ML.**,7ae85384,0
177,b2116423df2ce4,6accd25c,"As any other Kaggle newbie, I baptized myself into Kagglism by completing 'Housing Prices Competition for Kaggle Learn Users'. My best submission so far got me into top 7% (I know it's nothing impressive) where I played around with XGBoost. However, I was curious how would Google Cloud Platform's AutoML would do with Housing Price data. So, I gave it a try and would like to share my experience.
The first thing you should keep in mind before using AutoML is that it is not free (apparently not cheap too) and has a lot of limitations. The data cannot be modified after you have uploaded it, therefore you should do all your data cleaning and feature engineering beforehand. Here’s the data processing I went through before uploading my training data:
",51e7893c,0
178,b210a3c6b2506a,774cb580,## **Setup**,5722dee3,0
180,59b4aece612419,efe6d1a4,"## 1. Read The data
The following libraries will be used to read the dataset:
* **os:** to recognize operating system folders
* **pandas:** to read the file with plk extension

An exception handling is added with the intention of running the notebook in kaggle or in local",583cab1c,0
182,09434189ee99fa,23d26700,"# Story of New York Jobs

![New York Jobs](https://kuwaitjobvacancy.com/wp-content/uploads/2017/07/New-York-JOBS.png)",e3028ee5,0
185,b20a49a3fe942f,f8866176,"##### Attribute Information:
##### Bank client data:

Age (numeric)

Job : type of job (categorical: 'admin.', 'blue-collar', 'entrepreneur', 'housemaid', 'management', 'retired', 'self-employed', 'services', 'student', 'technician', 'unemployed', 'unknown')

Marital : marital status (categorical: 'divorced', 'married', 'single', 'unknown' ; note: 'divorced' means divorced or widowed)

Education (categorical: 'basic.4y', 'basic.6y', 'basic.9y', 'high.school', 'illiterate', 'professional.course', 'university.degree', 'unknown')

Default: has credit in default? (categorical: 'no', 'yes', 'unknown')

Housing: has housing loan? (categorical: 'no', 'yes', 'unknown')

Loan: has personal loan? (categorical: 'no', 'yes', 'unknown')

##### Related with the last contact of the current campaign:

Contact: contact communication type (categorical:
'cellular','telephone')

Month: last contact month of year (categorical: 'jan', 'feb', 'mar',
…, 'nov', 'dec')

Dayofweek: last contact day of the week (categorical:
'mon','tue','wed','thu','fri')

Duration: last contact duration, in seconds (numeric). Important
note: this attribute highly affects the output target (e.g., if
duration=0 then y='no'). Yet, the duration is not known before a call
is performed. Also, after the end of the call y is obviously known.
Thus, this input should only be included for benchmark purposes and
should be discarded if the intention is to have a realistic
predictive model.

##### Other attributes:

Campaign: number of contacts performed during this campaign and for
this client (numeric, includes last contact)

Pdays: number of days that passed by after the client was last
contacted from a previous campaign (numeric; 999 means client was not
previously contacted)

Previous: number of contacts performed before this campaign and for
this client (numeric)

Poutcome: outcome of the previous marketing campaign (categorical:
'failure','nonexistent','success')

##### Social and economic context attributes
Emp.var.rate: employment variation rate - quarterly indicator
(numeric)

Cons.price.idx: consumer price index - monthly indicator (numeric)

Cons.conf.idx: consumer confidence index - monthly indicator
(numeric)

Euribor3m: euribor 3 month rate - daily indicator (numeric)

Nr.employed: number of employees - quarterly indicator (numeric)

##### Output variable (desired target):
y - has the client subscribed a term deposit? (binary: 'yes', 'no')",8324545f,0
186,59b78693f96b9a,12e2f764,"<h1 style="" text-align:center; color:Blue; font-size:40px;""> <u><b>Heart Attack Prediction With 91.8% Accuracy</b></u> </h1>

<p style=""text-align:center; "">
<img src=""https://www.cardio.com/hs-fs/hubfs/human%20heart%20illustration.jpeg?width=900&name=human%20heart%20illustration.jpeg"" style='width: 400px;'>
</p>

",393eae3c,0
187,59bdf03bff9e83,d760fe0d,# New York City Taxi Fare Prediction,dd2f2553,0
188,b20767e662ce90,8.16E+14,"<a href=""https://colab.research.google.com/github/NeuromatchAcademy/course-content-dl/blob/main/tutorials/W2D2_ModernConvnets/student/W2D2_Tutorial1.ipynb"" target=""_blank""><img alt=""Open In Colab"" src=""https://colab.research.google.com/assets/colab-badge.svg""/></a>",2f633285,0
189,59be47651c1c2f,6954486e,"# Keep pulling same bandit as long as reward keeps coming!

Cleaned up a bit and added coments / explanations for functions.

Full credit to Lindada's notebook.
Notebook: https://www.kaggle.com/a763337092/pull-vegas-slot-machines-add-weaken-rate-continue5
Kaggler: https://www.kaggle.com/a763337092",60e55ea9,0
